epoch accuracy precision recall F1-score       0       1       2       3       4       0       1       2       3       4       0       1       2       3       4
  109   95.116    95.179 94.982   95.040  97.333  98.734  95.588  88.889  95.349  93.590  98.734  90.278  92.308 100.000  95.425  98.734  92.857  90.566  97.619
  110   94.859    95.185 94.744   94.843  95.946  98.701  98.485  86.364  96.429  91.026  96.203  90.278  97.436  98.780  93.421  97.436  94.203  91.566  97.590
  111   94.602    95.062 94.445   94.579  96.000 100.000  98.438  84.444  96.429  92.308  96.203  87.500  97.436  98.780  94.118  98.065  92.647  90.476  97.590
  112   94.602    95.114 94.454   94.600 100.000  98.701  98.462  85.227  93.182  91.026  96.203  88.889  96.154 100.000  95.302  97.436  93.431  90.361  96.471
  113   94.344    94.807 94.210   94.363  97.297 100.000  98.462  84.091  94.186  92.308  96.203  88.889  94.872  98.780  94.737  98.065  93.431  89.157  96.429
  114   94.859    95.229 94.723   94.837  96.000  98.701  98.462  85.393  97.590  92.308  96.203  88.889  97.436  98.780  94.118  97.436  93.431  91.018  98.182
  115   94.087    94.306 93.978   94.077  94.805 100.000  95.588  84.706  96.429  93.590  94.937  90.278  92.308  98.780  94.194  97.403  92.857  88.344  97.590
  116   94.344    94.708 94.201   94.306 100.000  98.684  94.118  84.270  96.471  91.026  94.937  88.889  96.154 100.000  95.302  96.774  91.429  89.820  98.204
  117   94.602    94.735 94.497   94.560  95.946  98.701  95.652  86.905  96.471  91.026  96.203  91.667  93.590 100.000  93.421  97.436  93.617  90.123  98.204
  118   95.373    95.831 95.257   95.398  97.333 100.000 100.000  85.393  96.429  93.590  96.203  90.278  97.436  98.780  95.425  98.065  94.891  91.018  97.590
  119   94.859    95.371 94.668   94.813  98.649 100.000  98.413  84.444  95.349  93.590  96.203  86.111  97.436 100.000  96.053  98.065  91.852  90.476  97.619
  120   95.116    95.572 94.967   95.102  97.297  98.701 100.000  85.393  96.471  92.308  96.203  88.889  97.436 100.000  94.737  97.436  94.118  91.018  98.204
  121   95.887    96.232 95.779   95.893  97.333 100.000 100.000  87.356  96.471  93.590  96.203  91.667  97.436 100.000  95.425  98.065  95.652  92.121  98.204
  122   95.116    95.338 95.010   95.092  98.630 100.000  95.652  87.059  95.349  92.308  96.203  91.667  94.872 100.000  95.364  98.065  93.617  90.798  97.619
  123   94.859    95.257 94.711   94.826  97.260  98.701  98.462  85.393  96.471  91.026  96.203  88.889  97.436 100.000  94.040  97.436  93.431  91.018  98.204
  124   94.344    95.035 94.201   94.366 100.000  98.701  98.438  82.796  95.238  91.026  96.203  87.500  98.718  97.561  95.302  97.436  92.647  90.058  96.386
  125   94.859    95.392 94.748   94.892 100.000 100.000  97.015  83.516  96.429  92.308  94.937  90.278  97.436  98.780  96.000  97.403  93.525  89.941  97.590
  126   95.116    95.432 94.988   95.080  98.611  98.701  97.015  86.364  96.471  91.026  96.203  90.278  97.436 100.000  94.667  97.436  93.525  91.566  98.204
  127   95.116    95.432 94.988   95.098  97.297  98.701  98.485  86.207  96.471  92.308  96.203  90.278  96.154 100.000  94.737  97.436  94.203  90.909  98.204
  128   94.859    95.042 94.729   94.789  97.222  98.718  95.588  87.209  96.471  89.744  97.468  90.278  96.154 100.000  93.333  98.089  92.857  91.463  98.204
  129   95.373    95.636 95.242   95.339  97.297  98.718  98.485  87.209  96.471  92.308  97.468  90.278  96.154 100.000  94.737  98.089  94.203  91.463  98.204
  130   94.859    94.993 94.763   94.821  95.946  98.718  95.652  87.059  97.590  91.026  97.468  91.667  94.872  98.780  93.421  98.089  93.617  90.798  98.182
  131   95.630    96.098 95.535   95.657 100.000 100.000  98.507  85.556  96.429  92.308  96.203  91.667  98.718  98.780  96.000  98.065  94.964  91.667  97.590
  132   95.373    95.796 95.282   95.406  98.649 100.000  98.507  85.393  96.429  93.590  94.937  91.667  97.436  98.780  96.053  97.403  94.964  91.018  97.590
  133   94.859    95.029 94.753   94.819  97.260  98.701  95.652  87.059  96.471  91.026  96.203  91.667  94.872 100.000  94.040  97.436  93.617  90.798  98.204
  134   94.087    94.238 94.009   94.066  97.260  96.203  94.286  85.882  97.561  91.026  96.203  91.667  93.590  97.561  94.040  96.203  92.958  89.571  97.561
  135   94.859    95.046 94.741   94.812  95.946  97.468  97.015  87.209  97.590  91.026  97.468  90.278  96.154  98.780  93.421  97.468  93.525  91.463  98.182
  136   94.602    94.842 94.522   94.598  95.946  97.436  97.059  86.207  97.561  91.026  96.203  91.667  96.154  97.561  93.421  96.815  94.286  90.909  97.561
  137   94.344    94.485 94.228   94.299  94.667  96.250  97.015  86.905  97.590  91.026  97.468  90.278  93.590  98.780  92.810  96.855  93.525  90.123  98.182
  138   94.859    95.168 94.720   94.809  98.611  97.468  96.970  86.364  96.429  91.026  97.468  88.889  97.436  98.780  94.667  97.468  92.754  91.566  97.590
  139   94.087    94.521 93.951   94.073 100.000  96.250  96.970  84.091  95.294  89.744  97.468  88.889  94.872  98.780  94.595  96.855  92.754  89.157  97.006
  140   95.116    95.317 95.019   95.088  97.260  97.468  97.059  87.209  97.590  91.026  97.468  91.667  96.154  98.780  94.040  97.468  94.286  91.463  98.182
  141   95.116    95.549 95.001   95.125 100.000  97.436  98.485  85.393  96.429  92.308  96.203  90.278  97.436  98.780  96.000  96.815  94.203  91.018  97.590
  142   94.344    94.595 94.232   94.318  98.611  97.436  95.588  86.047  95.294  91.026  96.203  90.278  94.872  98.780  94.667  96.815  92.857  90.244  97.006
  143   95.116    95.503 94.988   95.114  98.630  98.701  98.485  85.227  96.471  92.308  96.203  90.278  96.154 100.000  95.364  97.436  94.203  90.361  98.204
  144   94.859    95.315 94.735   94.887  98.649 100.000  98.485  84.091  95.349  93.590  94.937  90.278  94.872 100.000  96.053  97.403  94.203  89.157  97.619
  145   94.602    94.971 94.491   94.621  97.333  98.684  98.485  85.057  95.294  93.590  94.937  90.278  94.872  98.780  95.425  96.774  94.203  89.697  97.006
  146   94.859    94.984 94.787   94.848  96.000  97.436  97.101  87.952  96.429  92.308  96.203  93.056  93.590  98.780  94.118  96.815  95.035  90.683  97.590
  147   95.630    96.074 95.526   95.655 100.000 100.000  98.507  85.393  96.471  93.590  94.937  91.667  97.436 100.000  96.689  97.403  94.964  91.018  98.204
  148   95.116    95.553 94.992   95.114 100.000  98.684  97.015  84.444  97.619  92.308  94.937  90.278  97.436 100.000  96.000  96.774  93.525  90.476  98.795
  149   94.602    94.939 94.479   94.599  96.000  98.684  98.485  85.057  96.471  92.308  94.937  90.278  94.872 100.000  94.118  96.774  94.203  89.697  98.204
  150   94.859    95.142 94.757   94.861  96.000  98.684  98.507  86.047  96.471  92.308  94.937  91.667  94.872 100.000  94.118  96.774  94.964  90.244  98.204
  151   95.116    95.348 95.010   95.104  96.000  98.701  98.507  87.059  96.471  92.308  96.203  91.667  94.872 100.000  94.118  97.436  94.964  90.798  98.204
  152   94.602    94.864 94.500   94.575 100.000  98.684  92.958  85.057  97.619  91.026  94.937  91.667  94.872 100.000  95.302  96.774  92.308  89.697  98.795
  153   94.344    94.461 94.244   94.307  96.000  98.684  94.286  85.714  97.619  92.308  94.937  91.667  92.308 100.000  94.118  96.774  92.958  88.889  98.795
  154   95.116    95.432 94.988   95.098  97.297  98.701  98.485  86.207  96.471  92.308  96.203  90.278  96.154 100.000  94.737  97.436  94.203  90.909  98.204
  155   94.859    95.019 94.729   94.801  95.946  98.718  95.588  86.047  98.795  91.026  97.468  90.278  94.872 100.000  93.421  98.089  92.857  90.244  99.394
  156   94.859    94.983 94.757   94.823  96.053  98.684  95.652  86.905  97.619  93.590  94.937  91.667  93.590 100.000  94.805  96.774  93.617  90.123  98.795
  157   94.602    94.768 94.500   94.575  96.000  98.684  95.652  85.882  97.619  92.308  94.937  91.667  93.590 100.000  94.118  96.774  93.617  89.571  98.795
  158   94.859    95.038 94.778   94.836  97.260  98.684  95.714  87.059  96.471  91.026  94.937  93.056  94.872 100.000  94.040  96.774  94.366  90.798  98.204
  159   94.344    94.394 94.241   94.280  95.946  98.701  92.958  86.747  97.619  91.026  96.203  91.667  92.308 100.000  93.421  97.436  92.308  89.441  98.795
  160   94.859    95.308 94.735   94.873  98.630  98.684  98.485  84.270  96.471  92.308  94.937  90.278  96.154 100.000  95.364  96.774  94.203  89.820  98.204
  161   94.344    94.671 94.256   94.361  97.260  98.684  97.059  85.057  95.294  91.026  94.937  91.667  94.872  98.780  94.040  96.774  94.286  89.697  97.006
  162   93.830    94.088 93.743   93.813  98.592  98.684  91.667  83.908  97.590  89.744  94.937  91.667  93.590  98.780  93.960  96.774  91.667  88.485  98.182
  163   94.344    94.617 94.244   94.334  98.611  98.684  95.652  85.882  94.253  91.026  94.937  91.667  93.590 100.000  94.667  96.774  93.617  89.571  97.041
  164   94.602    94.844 94.497   94.577 100.000  98.701  94.286  85.882  95.349  91.026  96.203  91.667  93.590 100.000  95.302  97.436  92.958  89.571  97.619
  165   94.344    94.720 94.232   94.328 100.000  98.701  94.203  84.270  96.429  89.744  96.203  90.278  96.154  98.780  94.595  97.436  92.199  89.820  97.590
